player_id,name,team,PA,runs_per_pa,wRAA,wRC,wRC_plus
693304,nick gonzales,PIT,3,0.48564839733175597,1.4676528756597307,2.1529409690574854,538.7807224361324
680118,dairon blanco,KC,1,0.37863009215223015,0.3823031553491125,0.6107325198150308,442.88882093790426
670276,cal stevenson,PHI,2,0.3354714215398533,0.6783727195175373,1.1352314484493737,404.21724055533355
608348,carson kelly,CHC,45,0.27245297164343135,12.430307429250373,22.709628830216694,347.75064841577847
680700,richie palacios,TB,4,0.26603205446794065,1.079257467002507,1.99297492486618,341.9972966290205
642851,austin wynns,CIN,24,0.25344393290312867,6.173723013711443,11.656027760893481,330.71792800964516
623168,tyler heineman,TOR,27,0.22553531273676733,6.192636766698703,12.360229607278496,305.7108915829818
624641,edmundo sosa,PHI,32,0.20820215850529622,6.785298581626477,14.09503824453586,290.1798185069356
682622,noelvi marte,CIN,20,0.19614262789555675,3.9998550183120067,8.568442307630372,279.3740846709896
592450,aaron judge,NYY,99,0.19485140312178958,19.67157511726767,42.286082199393576,278.21710504390194
671056,iván herrera,STL,24,0.17498887989839326,4.2926286600046275,9.774933407186666,260.4196346275177
643565,mike tauchman,CWS,12,0.1649907675798831,2.0264533910966906,4.76760576468771,251.46099899965492
663757,trent grisham,NYY,56,0.15500255516523334,8.897985300268985,21.690029710360406,242.5112340094295
624413,pete alonso,NYM,95,0.15229362707269642,14.837698016716779,36.538487640979014,240.08394584242328
553882,omar narváez,CWS,10,0.14698388286628825,1.508817025253156,3.793110669912339,235.32624137712125
663656,kyle tucker,CHC,105,0.14668337818290345,15.8110563879283,39.79613965684972,235.05697935273622
669720,austin hays,CIN,30,0.14637064550258294,4.508071804792075,11.360952738769623,234.77676064317748
518692,freddie freeman,LAD,46,0.13222682843079875,6.262392446669616,16.770143212101857,222.103437970189
656775,cedric mullins,BAL,84,0.12961649873082737,11.216618214802196,30.40468482993933,219.76449718760364
593871,jorge polanco,SEA,55,0.12506115285113134,7.093913376134892,19.657528421760396,215.6827582958001
677347,kyren paris,LAA,61,0.12496032119112677,7.861650071882204,21.795841304303217,215.59240983071425
665804,miguel amaya,CHC,50,0.12023352715048433,6.2078650770822685,17.629333300378182,211.35704777945264
701538,jackson merrill,SD,41,0.11339735451400232,4.810438231858533,14.176042174961182,205.23161351862464
695336,thomas saggese,STL,36,0.11279074075780761,4.201982516447043,12.4254396372201,204.68806775363691
666018,jonathan aranda,TB,73,0.11133103579792225,8.414231696532951,25.089575302544986,203.38012436960565
687263,zach neto,LAA,10,0.11008497762108294,1.1401859871811135,3.4244796318402964,202.26361549054897
669257,will smith,LAD,61,0.10869717470417031,6.8705606819670635,20.804751914388078,201.0200986885935
679529,spencer torkelson,DET,97,0.10864502514701681,10.920264206761198,33.07791255995527,200.9733709798211
700337,edgar quero,CWS,12,0.10856020859302982,1.3499437093029507,4.091096082893969,200.89737257350458
665828,oswaldo cabrera,NYY,55,0.10320591979031805,5.8930418439480405,18.456656889573544,196.0997546930737
665487,fernando tatís,SD,94,0.10307348409389809,10.05930736561233,31.531667625408648,195.98108797774265
656248,sean bouchard,COL,35,0.10274339506409141,3.7339448785221894,11.72897263482933,195.68531741140106
808982,jung hoo lee,SF,90,0.09661332059355104,9.050401139965215,29.60904394189786,190.19257020035363
666158,gavin lux,CIN,83,0.09455382027081433,8.175708378894559,27.135345629565776,188.34719055476737
656976,pavin smith,AZ,66,0.09440732153342629,6.491506163550906,21.567844218301513,188.21592289479403
683737,michael busch,CHC,82,0.09086687542041105,7.775169728002901,26.506377614208198,185.0435673864581
545341,randal grichuk,AZ,31,0.08945194372330068,2.895573109435748,9.976883407879214,183.77574231019267
622534,manuel margot,DET,20,0.08659645288518067,1.8110572779701655,6.379644567288532,181.21712912977688
578428,jose iglesias,SD,52,0.08504032507309746,4.627908788414086,16.506235740641834,179.82278771664556
573262,mike yastrzemski,SF,74,0.08445072145561182,6.542281864183753,23.446054834661705,179.29448359226154
656305,matt chapman,SF,96,0.08423964849378501,8.467041236558408,30.39626022528656,179.10535531527677
672695,geraldo perdomo,AZ,100,0.08238810050670477,8.634859470531289,31.477795917123117,177.44630776356587
661388,william contreras,MIL,88,0.08150898692850589,7.5213894002385215,27.62317347323933,176.6585932458954
686668,brenton doyle,COL,57,0.0806645079521202,4.823720445317748,17.84419421987509,175.90191246418186
676609,josé caballero,TB,47,0.08027604135339425,3.9592134852779233,14.695393615176082,175.55383368683727
682998,corbin carroll,AZ,105,0.07940420595341172,8.753597506286182,32.7386807752076,174.77264065488308
676356,jonny deluca,TB,25,0.07914057745396823,2.0776055646509457,7.788339676298903,174.53642089735325
665839,enmanuel valdez,PIT,56,0.07895049210021084,4.643202013184703,17.435246423276126,174.366098203603
694362,blake dunn,CIN,44,0.07881943132319512,3.6424690741865,13.693361110686904,174.24866346102522
656811,ryan o'hearn,BAL,61,0.078280983682075,5.016973233326163,18.951164465747176,173.7661967645322
669221,sean murphy,ATL,42,0.07802507149899297,3.4435715562794567,13.037604863848024,173.53689107882607
669701,josh smith,TEX,52,0.07774679783262511,4.249013355067881,16.127340307295633,173.28754877275858
647304,josh naylor,AZ,96,0.07667471548505367,7.741512301256514,29.670731289984666,172.32692792664398
682829,elly de la cruz,CIN,96,0.07639720077927163,7.71489673852988,29.644115727258033,172.07826567408333
665489,vladimir guerrero,TOR,98,0.07475748809252841,7.715087823074464,30.101165540734456,170.60902947959485
691016,tyler soderstrom,ATH,94,0.07356578795593288,7.288275154494364,28.760635414290682,169.54122718238835
