key_mlbam,name_first,name_last
669242,tommy,edman
676914,davis,schneider
670032,nicky,lopez
664040,brandon,lowe
696100,hunter,goodman
694192,jackson,chourio
665828,oswaldo,cabrera
677951,bobby,witt
608385,jesse,winker
668952,ryan,kreidler
692225,kristian,campbell
668939,adley,rutschman
700932,kyle,manzardo
592450,aaron,judge
607732,jacob,stallings
663457,lars,nootbaar
694671,wyatt,langford
593871,jorge,polanco
672386,alejandro,kirk
608701,rob,refsnyder
701305,zach,dezenzo
670224,kameron,misner
656413,stuart,fairchild
676059,jordan,westburg
642136,matt,thaiss
657656,ramón,laureano
669194,ryne,nelson
668715,spencer,steer
621035,chris,taylor
686676,korey,lee
671056,iván,herrera
680716,jonathan,ornelas
666310,bo,naylor
686681,michael,massey
676572,eric,wagaman
666185,dylan,carlson
702616,jackson,holliday
666969,adolis,garcía
665833,oneil,cruz
650333,luis,arráez
516782,starling,marte
663538,nico,hoerner
808982,jung hoo,lee
663993,nathaniel,lowe
620443,luis,torrens
624585,jorge,soler
687401,joey,ortiz
542303,marcell,ozuna
668901,mark,vientos
643376,danny,jansen
609280,miguel,andújar
605170,víctor,caratini
686527,dominic,canzone
664770,nathan,lukes
575929,willson,contreras
592178,kris,bryant
543309,kyle,higashioka
686217,sal,frelick
680718,addison,barger
691728,zac,veen
666160,mickey,moniak
645277,ozzie,albies
666152,david,hamilton
691016,tyler,soderstrom
630105,jake,cronenworth
693304,nick,gonzales
623993,anthony,santander
642350,josé,siri
670764,taylor,walls
656775,cedric,mullins
690993,colt,keith
607680,kevin,pillar
660271,shohei,ohtani
669127,shea,langeliers
672279,michael,siani
606115,orlando,arcia
683002,gunnar,henderson
641555,j. c.,escarra
657757,gavin,sheets
518595,travis,d'arnaud
656941,kyle,schwarber
702176,alan,roden
518692,freddie,freeman
691026,masyn,winn
665804,miguel,amaya
643217,andrew,benintendi
669234,justyn-henry,malloy
683011,anthony,volpe
500743,miguel,rojas
641355,cody,bellinger
